Area,using,District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
HONG KONG ISLAND,1,Central and Western,2.90%,1.46%,15.28%,4.29%,15.01%,0.83%,4.65%,13.85%,0.41%,8.36%,0.08%,0.87%,14.21%,9.15%,8.65%,,,,,,,
HONG KONG ISLAND,1,Wan Chai,3.22%,1.49%,21.33%,4.65%,11.17%,0.88%,4.46%,12.99%,0.45%,9.52%,0.07%,0.89%,10.78%,10.02%,8.09%,,,,,,,
HONG KONG ISLAND,1,Eastern,2.64%,2.11%,15.12%,5.87%,9.65%,0.62%,6.52%,13.29%,0.45%,9.06%,0.27%,0.47%,9.74%,9.49%,14.70%,,,,,,,
HONG KONG ISLAND,1,Southern,2.24%,2.13%,16.47%,4.41%,10.55%,0.62%,6.59%,13.94%,0.44%,8.41%,0.11%,0.90%,12.80%,9.08%,11.30%,,,,,,,
KOWLOON WEST,1,Yau Tsim Mong,2.34%,0.18%,12.70%,15.72%,1.81%,0.27%,7.35%,10.67%,0.28%,21.26%,0.36%,14.07%,7.41%,0.38%,5.19%,,,,,,,
KOWLOON WEST,1,Sham Shui Po,2.61%,0.14%,11.07%,16.22%,8.68%,0.25%,7.65%,8.06%,0.22%,19.42%,0.35%,13.49%,7.24%,0.31%,4.29%,,,,,,,
KOWLOON WEST,1,Kowloon City,2.44%,0.12%,11.56%,17.72%,4.30%,0.25%,7.00%,9.44%,0.22%,21.33%,0.31%,13.22%,6.95%,0.30%,4.83%,,,,,,,
KOWLOON EAST,1,Wong Tai Sin,16.85%,0.82%,0.80%,1.09%,12.67%,12.34%,0.53%,17.50%,13.34%,10.60%,3.61%,9.85%,,,,,,,,,,
KOWLOON EAST,1,Kwun Tong,12.65%,0.73%,0.70%,0.58%,15.69%,17.98%,0.35%,13.75%,14.12%,9.78%,4.12%,9.55%,,,,,,,,,,
NEW TERRITORIES WEST,1,Tsuen Wan,2.58%,5.79%,0.09%,0.15%,7.66%,0.05%,14.30%,4.62%,0.92%,10.63%,5.06%,4.72%,1.29%,5.80%,3.19%,19.11%,0.25%,0.13%,0.58%,13.07%,,
NEW TERRITORIES WEST,1,Tuen Mun,1.72%,7.92%,0.12%,0.16%,10.60%,0.06%,12.95%,7.16%,10.93%,6.29%,4.72%,5.22%,1.47%,8.68%,3.93%,2.39%,0.24%,0.14%,0.34%,14.97%,,
NEW TERRITORIES WEST,1,Yuen Long,1.74%,4.88%,0.10%,0.52%,9.56%,0.06%,11.77%,7.88%,17.46%,5.60%,4.71%,5.74%,1.97%,7.03%,2.36%,1.88%,0.23%,0.12%,0.30%,16.10%,,
NEW TERRITORIES WEST,1,Kwai Tsing,7.78%,9.06%,0.08%,0.12%,8.04%,0.06%,9.40%,4.03%,1.19%,6.65%,4.49%,4.48%,1.74%,9.90%,2.68%,17.90%,0.82%,0.14%,0.45%,10.99%,,
NEW TERRITORIES WEST,1,Islands,1.87%,5.61%,0.13%,0.12%,8.32%,1.32%,9.58%,3.61%,7.41%,8.34%,5.00%,3.75%,1.39%,11.08%,2.41%,13.95%,0.30%,0.15%,0.38%,15.28%,,
NEW TERRITORIES EAST,1,North,3.67%,8.59%,0.21%,4.11%,6.08%,7.32%,7.89%,0.79%,2.04%,3.36%,4.09%,2.48%,5.34%,3.73%,0.09%,0.33%,0.65%,7.25%,8.26%,0.12%,3.17%,20.42%
NEW TERRITORIES EAST,1,Tai Po,3.76%,5.99%,0.11%,4.44%,5.93%,8.53%,9.05%,1.32%,3.59%,3.90%,0.83%,3.36%,4.09%,6.94%,0.08%,0.28%,0.52%,8.58%,6.81%,0.05%,4.09%,17.75%
NEW TERRITORIES EAST,1,Sai Kung,12.50%,5.00%,0.13%,4.02%,5.98%,7.13%,9.07%,1.32%,2.69%,14.06%,0.66%,3.05%,4.79%,7.14%,0.08%,0.23%,0.45%,7.63%,6.12%,0.03%,5.44%,2.47%
NEW TERRITORIES EAST,1,Sha Tin,3.67%,7.49%,0.15%,3.92%,6.34%,10.06%,9.48%,1.72%,3.54%,13.23%,0.38%,4.15%,4.49%,4.41%,0.08%,0.31%,0.47%,8.10%,5.98%,0.04%,8.98%,2.97%
