Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,total,long,lat
D0101,香港仔體育館,南區,Aberdeen Sports Centre,SOUTHERN DISTRICT,157,175,1090,341,438,30,511,1007,38,585,6,32,596,734,740,6480,114.1544832,22.2493168
D0201,鴨脷洲社區會堂,南區,Ap Lei Chau Community Hall,SOUTHERN DISTRICT,23,116,437,151,429,22,340,541,15,310,8,28,449,281,1020,4170,114.1508329,22.2444243
D0301,鴨脷洲體育館,南區,Ap Lei Chau Sports Centre,SOUTHERN DISTRICT,80,92,510,169,248,32,283,642,24,388,7,32,388,387,487,3769,114.1554216,22.2445
D0401,聖伯多祿天主教小學,南區,St. Peter's Catholic Primary School,SOUTHERN DISTRICT,66,123,670,231,547,21,420,837,18,474,2,41,1027,467,604,5548,114.1564578,22.2411081
D0501,利東社區會堂,南區,Lei Tung Community Hall,SOUTHERN DISTRICT,56,94,498,163,598,21,287,592,16,309,5,21,975,295,583,4513,114.1560942,22.2414613
D0601,香港南區官立小學,南區,Hong Kong Southern District Government Primary School,SOUTHERN DISTRICT,200,112,1473,261,300,28,220,945,22,567,4,23,660,658,302,5775,114.1504844,22.2434947
D0701,海怡社區中心,南區,South Horizons Neighbourhood Community Centre,SOUTHERN DISTRICT,248,184,1901,246,265,15,288,1004,33,584,4,35,786,620,279,6492,114.1484961,22.2434995
D0801,華貴社區會堂,南區,Wah Kwai Community Hall,SOUTHERN DISTRICT,76,124,597,257,1160,34,482,783,23,520,5,38,862,477,477,5915,114.1394803,22.2506366
D0901,明愛莊月明中學,南區,Caritas Chong Yuet Ming Secondary School,SOUTHERN DISTRICT,32,66,406,144,503,25,303,406,8,251,1,18,579,297,717,3756,114.1349709,22.2529083
D1001,東華三院鶴山學校,南區,TWGHs Hok Shan School,SOUTHERN DISTRICT,48,78,350,166,685,23,352,467,12,309,10,32,749,347,600,4228,114.138873,22.2523651
D1101,沙宣道會堂,南區,Sassoon Road Assembly Hall,SOUTHERN DISTRICT,41,7,127,43,63,4,15,156,2,60,0,55,100,70,53,796,114.1292646,22.2695792
D1102,上碧瑤灣遊樂場,南區,Playground of Upper Baguio Villa,SOUTHERN DISTRICT,77,9,363,62,142,16,35,187,12,110,0,67,212,146,60,1498,114.133808,22.261943
D1103,數碼港郵政局,南區,Cyberport Post Office,SOUTHERN DISTRICT,50,11,349,40,154,15,19,205,4,155,1,42,157,122,117,1441,114.1300009,22.2606224
D1201,展亮技能發展中心 (薄扶林),南區,Shine Skills Centre (Pokfulam),SOUTHERN DISTRICT,6,10,95,12,29,2,37,43,1,31,1,5,29,29,31,361,114.1360857,22.2602336
D1202,置富南區會堂,南區,Chi Fu Community Hall,SOUTHERN DISTRICT,222,71,1180,306,382,54,283,995,58,537,6,62,721,742,310,5929,114.139324,22.257628
D1301,明愛賽馬會香港仔服務中心,南區,Caritas Jockey Club Aberdeen Social Centre,SOUTHERN DISTRICT,26,40,187,86,109,8,131,211,5,92,2,9,115,136,141,1298,114.1495555,22.249658
D1302,聖公會田灣始南小學,南區,SKH Tin Wan Chi Nam Primary School,SOUTHERN DISTRICT,36,69,451,190,469,20,281,479,13,241,4,31,317,294,392,3287,114.1508115,22.2513189
D1401,香港仔聖伯多祿天主教小學,南區,Aberdeen St. Peter's Catholic Primary School,SOUTHERN DISTRICT,66,146,520,244,1036,49,491,671,16,432,11,34,506,442,835,5499,114.1576455,22.2491289
D1501,香港仔網球及壁球中心,南區,Aberdeen Tennis and Squash Centre,SOUTHERN DISTRICT,25,49,249,80,82,9,97,202,5,129,1,7,190,155,267,1547,114.1599595,22.2474996
D1502,南區長者地區中心,南區,Southern District Elderly Community Centre,SOUTHERN DISTRICT,91,83,583,167,168,20,195,513,12,347,2,39,619,327,739,3905,114.1660903,22.2446174
D1601,黃竹坑體育館,南區,Wong Chuk Hang Sports Centre,SOUTHERN DISTRICT,47,5,305,30,116,11,74,21,1,83,0,18,111,65,70,957,114.1733357,22.2495818
D1602,香港國際學校,南區,Hong Kong International School,SOUTHERN DISTRICT,56,10,382,44,148,22,14,85,3,114,0,24,98,96,72,1168,114.2011087,22.2390206
D1701,赤柱社區會堂,南區,Stanley Community Hall,SOUTHERN DISTRICT,99,76,781,168,491,19,228,413,18,271,9,46,289,274,329,3511,114.212222,22.219167
D1702,石澳健康院,南區,Medical Clinic of Shek O Health Centre,SOUTHERN DISTRICT,23,5,99,39,153,9,59,107,4,43,2,7,38,35,107,730,114.252543,22.2300368
