Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,total,long,lat
H0101,黃大仙社區中心,黃大仙區,Wong Tai Sin Community Centre,WONG TAI SIN DISTRICT,1241,47,54,50,1211,575,18,894,836,715,264,549,6454,114.1941424,22.3409907
H0201,聖公會基德小學,黃大仙區,SKH Kei Tak Primary School,WONG TAI SIN DISTRICT,676,45,43,49,855,504,20,1205,740,565,188,591,5481,114.1945635,22.3368687
H0301,龍翔官立中學,黃大仙區,Lung Cheung Government Secondary School,WONG TAI SIN DISTRICT,1336,32,29,29,268,195,28,547,376,385,135,313,3673,114.190119,22.342962
H0401,嗇色園西醫診所,黃大仙區,Sik Sik Yuen Clinic,WONG TAI SIN DISTRICT,321,34,37,46,740,335,17,719,576,380,182,432,3819,114.1974862,22.343078
H0501,鳳德社區中心,黃大仙區,Fung Tak Estate Community Centre,WONG TAI SIN DISTRICT,657,64,46,139,664,1266,31,992,867,628,308,650,6312,114.201584,22.343883
H0601,香港小童群益會賽馬會慈雲山青少年綜合服務中心,黃大仙區,The Boys' & Girls' Clubs Association of Hong Kong Jockey Club Tsz Wan Shan Children & Youth Integrated Services Centre,WONG TAI SIN DISTRICT,373,23,28,276,747,282,18,543,655,428,249,431,4053,114.2003596,22.3417692
H0602,保良局張麥珍耆樂中心,黃大仙區,PLK Mrs. Maria Cheung Lifelong Learning Institute for the Senior,WONG TAI SIN DISTRICT,209,18,16,252,386,326,8,601,572,214,92,315,3009,114.201661,22.342081
H0701,可立中學(嗇色園主辦),黃大仙區,Ho Lap College (Sponsored by the Sik Sik Yuen),WONG TAI SIN DISTRICT,250,14,18,16,785,203,14,299,369,275,59,262,2564,114.195516,22.336749
H0702,嘉諾撒小學(新蒲崗),黃大仙區,Canossa Primary School (San Po Kong),WONG TAI SIN DISTRICT,312,27,31,20,1032,267,10,471,562,379,162,340,3613,114.2015969,22.3370771
H0801,東頭社區中心,黃大仙區,Tung Tau Community Centre,WONG TAI SIN DISTRICT,621,63,61,44,556,1258,38,742,799,585,130,512,5409,114.1933993,22.3319536
H0901,華德學校,黃大仙區,Bishop Walsh Primary School,WONG TAI SIN DISTRICT,337,31,28,29,551,285,15,302,361,264,78,283,2564,114.187779,22.3347
H1001,摩士公園體育館,黃大仙區,Morse Park Sports Centre,WONG TAI SIN DISTRICT,604,38,54,48,919,657,23,695,862,607,193,540,5240,114.190099,22.338348
H1101,香港青年協會賽馬會橫頭磡青年空間,黃大仙區,The Hong Kong Federation of Youth Groups Jockey Club Wang Tau Hom Youth S.P.O.T.,WONG TAI SIN DISTRICT,219,29,15,16,219,903,6,293,462,329,101,276,2868,114.185964,22.339922
H1102,香港傷殘青年協會賽馬會活動中心,黃大仙區,Hong Kong Federation of Handicapped Youth Jockey Club Activity Center,WONG TAI SIN DISTRICT,220,19,16,19,295,769,8,270,437,345,117,301,2816,114.188755,22.3397492
H1201,天主教博智小學,黃大仙區,Price Memorial Catholic Primary School,WONG TAI SIN DISTRICT,403,31,38,34,711,326,16,475,793,370,156,347,3700,114.1871648,22.3437467
H1202,潔心林炳炎中學,黃大仙區,Kit Sam Lam Bing Yim Secondary School,WONG TAI SIN DISTRICT,212,27,17,21,504,260,11,340,550,206,95,244,2487,114.185394,22.341075
H1301,嗇色園主辦可德幼稚園,黃大仙區,Ho Tak Kindergarten (Sponsored by Sik Sik Yuen),WONG TAI SIN DISTRICT,502,23,26,20,390,184,18,356,392,249,92,273,2525,114.191703,22.345749
