Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,total,long,lat
T0101,中華基督教會大澳小學,離島區,CCC Tai O Primary School,ISLANDS DISTRICT,75,42,3,1,32,1,40,48,407,23,27,34,10,33,13,18,3,1,5,61,877,113.861672,22.254383
T0104,醫療輔助隊東涌訓練中心,離島區,Auxiliary Medical Service Tung Chung Training Centre,ISLANDS DISTRICT,11,32,0,2,33,1,49,31,145,29,35,21,5,99,16,27,2,1,2,76,617,113.9359627,22.2788017
T0107,梅窩體育館,離島區,Mui Wo Sports Centre,ISLANDS DISTRICT,24,40,1,1,98,2,116,29,428,105,176,60,20,120,17,10,7,3,12,193,1462,113.9966488,22.2668634
T0109,杯澳公立學校,離島區,Bui O Public School,ISLANDS DISTRICT,7,20,1,0,22,2,133,21,85,25,40,7,5,34,11,7,1,1,0,66,488,113.9762521,22.2429881
T0201,東涌天主教學校,離島區,Tung Chung Catholic School,ISLANDS DISTRICT,68,272,6,10,480,3,273,139,46,202,210,169,79,1533,91,360,8,2,22,597,4570,113.935791,22.282943
T0301,香港教育工作者聯會黃楚標學校,離島區,HKFEW Wong Cho Bau School,ISLANDS DISTRICT,113,354,11,2,758,7,283,104,98,274,337,203,104,1067,90,609,23,6,14,1066,5523,113.936988,22.281005
T0401,東涌社區會堂,離島區,Tung Chung Community Hall,ISLANDS DISTRICT,60,309,4,10,218,3,1071,272,123,750,187,181,52,235,131,628,13,12,16,626,4901,113.943863,22.290665
T0501,香港教育工作者聯會黃楚標中學,離島區,HKFEW Wong Cho Bau Secondary School,ISLANDS DISTRICT,106,302,7,5,506,10,657,210,73,615,252,264,111,403,198,1171,13,10,15,1001,5929,113.944403,22.2883
T0601,愉景灣社區會堂,離島區,Discovery Bay Community Hall,ISLANDS DISTRICT,26,240,2,1,99,0,377,146,50,396,142,104,20,55,108,330,4,4,8,362,2474,114.0157684,22.3084978
T0701,坪洲體育館,離島區,Peng Chau Sports Centre,ISLANDS DISTRICT,80,90,6,1,109,4,98,130,761,99,68,46,27,130,38,43,10,1,8,306,2055,114.0379067,22.2848044
T0801,南丫島北段鄉事委員會,離島區,Lamma Island (North) Rural Committee,ISLANDS DISTRICT,12,55,2,2,66,4,71,56,392,79,65,57,7,72,25,23,8,1,2,327,1326,114.1115022,22.2265319
T0901,佛教慧因法師紀念中學,離島區,Buddhist Wai Yan Memorial College,ISLANDS DISTRICT,34,76,2,5,200,184,69,32,8,95,88,68,27,75,32,577,2,4,10,256,1844,114.0259781,22.2050114
T0902,明愛陳震夏郊野學園(聖保祿校舍),離島區,Caritas Chan Chun Ha Field Studies Centre (St. Paul Campus),ISLANDS DISTRICT,16,57,3,0,105,90,59,31,6,91,51,35,9,21,26,222,3,1,6,182,1014,114.032043,22.205273
T1001,長洲體育館,離島區,Cheung Chau Sports Centre,ISLANDS DISTRICT,16,45,0,3,114,77,51,21,9,92,40,30,8,33,32,385,3,3,8,148,1118,114.031176,22.207509
T1002,國民學校,離島區,Kwok Man School,ISLANDS DISTRICT,19,61,0,0,120,82,61,14,7,93,60,54,12,33,30,555,5,4,7,169,1386,114.0291953,22.2107096
