Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,list21,list22,total,long,lat
Q0101,西貢賽馬會大會堂,西貢區,The Sai Kung Jockey Club Town Hall,SAI KUNG DISTRICT,431,217,8,162,320,345,474,60,95,1085,370,135,86,136,3,15,34,366,228,3,94,81,4748,114.2712298,22.383
Q0102,萬宜漁村公共會堂,西貢區,Man Yee Fishermen Village Community Hall,SAI KUNG DISTRICT,61,38,1,31,44,55,89,11,25,301,26,27,25,28,4,4,8,69,46,0,12,11,916,114.3437366,22.3702485
Q0201,前西貢中心小學,西貢區,Ex-Sai Kung Central Primary School,SAI KUNG DISTRICT,318,171,3,114,243,296,384,46,78,718,341,178,60,129,3,10,27,302,150,0,164,88,3823,114.27632,22.384426
Q0401,港澳信義會小學,西貢區,Hong Kong and Macau Lutheran Church Primary School,SAI KUNG DISTRICT,245,173,4,87,139,178,245,63,55,502,40,119,56,77,1,5,12,209,119,3,216,65,2613,114.266556,22.319474
Q0501,新界西貢坑口區鄭植之中學,西貢區,"Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District, N.T.",SAI KUNG DISTRICT,228,166,6,99,175,202,250,61,64,604,32,113,49,86,5,3,13,238,119,0,132,83,2728,114.2574386,22.34305
Q0601,播道書院,西貢區,Evangel College,SAI KUNG DISTRICT,957,331,5,196,269,352,507,68,132,556,5,139,489,224,5,12,27,422,317,0,246,121,5380,114.2624039,22.3042686
Q0701,香港基督教女青年會將軍澳綜合社會服務處,西貢區,HKYWCA Tseung Kwan O Integrated Social Service Centre,SAI KUNG DISTRICT,976,392,10,125,288,563,630,142,158,529,0,247,95,288,2,8,8,412,169,3,240,143,5428,114.2526791,22.3042551
Q0801,優才(楊殷有娣)書院,西貢區,G.T. (Ellen Yeung) College,SAI KUNG DISTRICT,750,240,5,118,178,281,350,55,105,581,5,156,130,210,1,11,18,297,147,2,176,128,3944,114.2502302,22.3051983
Q0901,香海正覺蓮社佛教正覺中學,西貢區,HHCKLA Buddhist Ching Kok Secondary School,SAI KUNG DISTRICT,427,101,3,222,343,190,316,26,91,724,21,74,251,671,3,9,19,300,326,0,190,134,4441,114.2494052,22.3069753
Q1001,寶覺中學,西貢區,Po Kok Secondary School,SAI KUNG DISTRICT,559,263,6,329,436,388,535,58,126,951,10,161,381,241,13,13,31,469,474,4,267,192,5907,114.2545821,22.3075294
Q1101,博愛醫院八十週年鄧英喜中學,西貢區,POH 80th Anniversary Tang Ying Hei College,SAI KUNG DISTRICT,704,261,7,182,322,471,553,108,162,792,9,212,317,924,8,13,26,429,262,2,243,151,6158,114.2586115,22.308906
Q1201,仁濟醫院王華湘中學,西貢區,YCH Wong Wha San Secondary School,SAI KUNG DISTRICT,937,324,11,216,318,439,581,96,317,831,3,196,244,341,2,14,30,465,401,1,312,156,6235,114.2599926,22.3093092
Q1301,將軍澳運動場,西貢區,Tseung Kwan O Sports Ground,SAI KUNG DISTRICT,714,284,4,114,220,421,466,86,128,486,0,151,132,341,3,10,18,382,189,1,196,119,4465,114.2639618,22.3119259
Q1401,將軍澳官立小學,西貢區,Tseung Kwan O Government Primary School,SAI KUNG DISTRICT,1002,393,7,267,355,598,684,139,207,802,4,253,304,348,3,11,28,514,346,2,268,153,6688,114.2633788,22.3182876
Q1501,翠林體育館,西貢區,Tsui Lam Sports Centre,SAI KUNG DISTRICT,161,53,4,56,72,74,134,7,35,85,1,17,65,104,2,4,3,113,90,0,125,18,1223,114.249523,22.322233
